,Likes,Price,Pop_1E,MdAgeE,MnHHIncE,EA_LTHSGrE,EA_BchDHE,NtvE,Fb1E,categories_cat,GeoID_cat
239,0.0,1.0,82931,38.7,90789.0,15652,11285,37348,45583,3,148
240,1.0,2.0,82931,38.7,90789.0,15652,11285,37348,45583,3,148
241,0.0,1.0,82931,38.7,90789.0,15652,11285,37348,45583,3,148
242,0.0,2.0,90847,38.3,73256.0,18526,18582,40121,50726,1,7
243,7.0,2.0,90847,38.3,73256.0,18526,18582,40121,50726,4,7
244,5.0,1.0,33020,38.7,82098.0,4833,8031,15890,17130,1,6
245,7.0,1.0,33020,38.7,82098.0,4833,8031,15890,17130,6,6
246,0.0,2.0,33020,38.7,82098.0,4833,8031,15890,17130,6,6
247,18.0,2.0,33020,38.7,82098.0,4833,8031,15890,17130,1,6
248,3.0,1.0,90847,38.3,73256.0,18526,18582,40121,50726,3,7
249,0.0,2.0,90847,38.3,73256.0,18526,18582,40121,50726,9,7
250,3.0,1.0,90847,38.3,73256.0,18526,18582,40121,50726,3,7
251,10.0,2.0,90847,38.3,73256.0,18526,18582,40121,50726,8,7
252,1.0,2.0,32179,38.1,93741.0,3236,6167,19593,12586,3,131
253,1.0,1.0,32179,38.1,93741.0,3236,6167,19593,12586,3,131
254,17.0,2.0,32179,38.1,93741.0,3236,6167,19593,12586,1,131
255,7.0,2.0,40435,42.8,96352.0,3635,10136,26131,14304,7,123
256,0.0,3.0,24795,38.6,75602.0,4152,3131,12987,11808,7,125
257,0.0,2.0,24795,38.6,75602.0,4152,3131,12987,11808,4,125
258,5.0,1.0,24795,38.6,75602.0,4152,3131,12987,11808,1,125
259,2.0,1.0,24795,38.6,75602.0,4152,3131,12987,11808,3,125
260,1.0,2.0,24795,38.6,75602.0,4152,3131,12987,11808,7,125
261,1.0,2.0,31971,45.5,106229.0,3479,9031,20561,11410,1,142
262,35.0,1.0,57036,32.3,126056.0,5860,25475,42759,14277,3,30
263,41.0,3.0,36038,34.1,91339.0,5405,13048,26632,9406,6,39
264,58.0,2.0,57036,32.3,126056.0,5860,25475,42759,14277,1,30
265,141.0,3.0,57036,32.3,126056.0,5860,25475,42759,14277,6,30
