,name,name_cat
384,Northern Manor 同乐轩,1055
385,Aunt Bella's,97
386,Il Bacco,639
387,Greek Islands,558
388,Kee Hing Restaurant,713
389,New College Restaurant,996
390,Hunan Wok,627
391,Song Thai Restaurant & Bar,1324
392,El Viejo Yayo Restaurant #2,410
393,Red Hot Szechuan,1217
394,Rancho Alegre,1210
395,Yamato,1496
396,Crab Spot,287
397,Princess Pizzeria,1184
398,Athena Mediterranean Cuisine,93
399,Monte's Restaurant,953
400,Ting Hua,1416
401,Frankies 457 Spuntino,476
402,Mezcal's,918
403,Brother's II Pizzeria,174
404,Loon Chuan,833
405,Nucci's,1058
406,88 Chinese Restaurant,17
407,Tropical Grill & Restaurant,1436
408,Yong Sheng Restaurant,1501
409,El Caldero Restaurant,357
410,El Nuevo Amanecer Restaurant,379
411,Best Taste Chinese Restaurant,140
412,New Golden Empire,1005
413,Jing Hui,679
414,Piggys Restaurant,1154
415,Island Pot Restaurant,653
416,La Parada,785
417,Piola Restaurant,1159
418,El Rey II Restaurant,397
419,Panda House Chinese Restaurant,1104
420,Foo Shun Chinese Restaurant,463
421,China Garden Restaurant,244
422,La Cabana Restaurant,758
423,New Hei Lok,1009
424,El Castillo De Jagua,361
425,Tavares Restaurant,1383
426,Eastern Restaurant,345
427,Triangolo Restaurant,1433
428,One 83 Restaurant,1081
429,Poke Restaurant,1164
430,Va Bene Restaurant,1458
431,Charley Mom,230
432,DoppioSenso Restaurant,319
433,Ondal Korean Restaurant,1080
434,Good Fortune Restaurant,542
435,Punjabi Indian & American Restaurant,1192
436,Karim's Restaurant,711
437,King House Chinese Restaurant,726
438,panda restaurant,1518
439,Xochimilco Family Restaurant,1492
440,New china chinese restaurant,1040
441,El Lina Restaurant,375
442,Ceci Restaurant,221
443,El Tina Seafood Restaurant,406
444,Guadalupe Bar and Grill,568
445,El Nuevo Ambiente,380
446,"""U"" Like",0
447,Milanes Spanish Restaurant,929
448,Lasagna Restaurant,806
449,Ming's Restaurant,938
450,O'farrell's,1065
451,Bottino Restaurant,164
452,Don Giovanni Ristorante,314
453,Rolf's German Restaurant,1239
454,Taste Chinese Restaurant,1378
455,Bocca Restaurant,154
456,Tre Stelle Italian Restaurant&Bar,1432
457,Black Barn Restaurant,147
458,Sevilla Restaurant,1297
459,Revel Restaurant and Garden,1231
460,Gaetana's Cucina Italiana,499
461,EN Japanese Brasserie,336
462,Malatesta Trattoria,868
463,Braeburn,166
464,Fig & Olive,449
465,PJ Charlton Italian Restaurant,1094
466,Tauro Restaurant,1382
467,San Marino Restaurant at Sheraton Four Points,1275
468,Giorgione,522
469,Arturo's Restaurant,80
470,Panchito's Mexican Restaurant,1099
471,Tio Pepe Restaurant,1417
472,Villa Mosconi Restaurant,1465
473,Potjanee Thai Restaurant,1180
474,Raoul's Restaurant,1212
475,Fred's Restaurant,479
476,Roppongi Japanese Restaurant,1243
477,Alachi Masala,40
478,Acosta Deli - Restaurant,29
479,Malecon Restaurant II,870
480,El Ranchito Restaurant,394
481,La Beba Restaurant,756
482,Broadway Pizza & Restaurant,171
483,Mexican Festival Restaurant,913
484,Flor De Mayo,458
485,107 West,2
486,Yakitori Sun-Chan,1493
487,Kouzan Japanese Restaurant,742
488,Carmine's Italian Restaurant,211
489,Gennaro Restaurant,510
490,Telio Restaurant,1384
491,Bodrum Mediterranean Restaurant,155
492,New Asia Restaurant,988
493,Pampa South American Restaurant,1097
494,Bellini Italian Restaurant & Brick Oven Pizza,132
495,Golden House Chinese Restaurant,534
496,D'Maria Restaurant,295
497,Hing Wang Chinese Restaurant,605
498,El Valle Restaurant Sport Bar,408
499,Lupita's Mexican Restaurant,859
500,New Xing Wang Chinese Restaurant,1037
501,Pancho Villa Restaurant,1100
502,El Nuevo Mangu' Restaurant,384
503,Tacos Puebla Restaurant,1364
504,Que Sabrosura Restaurant,1201
505,Golden China Restaurant,530
506,El Rey Del Marisco Fine Seafood Restaurant,396
507,NO.1 restaurant,973
508,D'Alcantara Restaurant,294
509,New Golden Restaurant,1006
510,Jimmy's Best Chinese Restaurant,677
511,Applebee's Grill + Bar,72
512,Puerto Rican Natural Restaurant & Bar,1189
513,JJ Restaurant & Cuchifritos,662
514,Wings Chinese Restaurant,1483
515,Mario's Restaurant & Catering,891
516,653 Lucky Chinese Restaurant,15
517,Rainbow Chinese Restaurant,1207
518,Ann & Tony's - An Original Arthur Avenue Restaurant,60
519,Michaelangelo's Coal Fired Brick Oven Pizza Restaurant,926
520,Emilia's Restaurant,419
521,Dominick's Restaurant,312
522,Happy Garden,585
523,Liman Restaurant,825
524,Maria's,888
525,Fuel Champion Restaurant,490
526,Istanbul Restaurant Fish & Kebab,656
527,Papa Leone Pizza,1113
528,Kennedy's,714
529,New Choi Hee,994
530,Pier 76 Italian Restaurant,1152
531,Honduras Patio Restaurant,610
532,Angie's Pizza & Restaurant,59
533,Steven Dominick,1337
534,New Win Hing,1034
535,Foo An Chinese Restaurant,460
536,G's Restaurant & Bar,496
537,Kim's Chinese Restaurant,718
538,La Strada,791
539,Hokkaido Japanese Restaurant,608
540,Fushimi Japanese Restaurant,495
541,Nino's,1045
542,Cielo Ristorante,266
543,Seaside Turkish Restaurant,1289
544,Basilio's Inn,128
545,Italianissimo,659
546,Asya Indian Restaurant,90
547,Miso Sushi,942
548,Grand Canyon Restaurant,552
549,Nick's Lobster House,1043
550,Lima Peruvian Restaurant,824
551,China Kettle,247
552,Italia Pizza,658
553,Restaurante Salvadoreno Usuluteco,1230
554,Golden Eagle Restaurant,533
555,Panda restaurant,1107
556,Tequila Mexican Restaurant,1388
557,900 Park Restaurant,19
558,Aperture Restaurant,69
559,Alma,49
560,Red Apple,1214
561,Mama Maria's,871
562,BKNY Thai Restaurant,106
563,Amy's Chinese Restaurant,57
564,Cana Restaurant & Catering,194
565,Panda Garden Chinese Restaurant,1103
566,Ayna Agra Indian Restaurant,103
567,Maria's Restaurant,889
568,Bourbon Street Restaurant and Catering,165
569,Papazzio Restaurant,1114
570,Marbella Restaurant,884
571,New Apple Chinese Restaurant,986
572,Mikes Restaurant,928
573,El Nuevo Tropical Restaurant,385
574,Happy Family Chinese Restaurant,584
575,Tropical Spanish Restaurant,1439
576,La Fiesta Restaurant,768
577,L'Fonda Family Restaurant,751
578,Judy's Restaurant,693
579,Giovanna's Restaurant,523
580,Tropical & Grill Restaurant,1434
581,La Isla Restaurant,775
582,Indo Pak Halal Restaurant,648
583,Wing Sing Chinese Restaurant,1482
584,SPICEHUT INDIAN RESTAURANT,1257
585,The Restaurant at MIST,1407
586,red star restaurant,1519
587,BarKogi Korean Restaurant & Bar,123
588,Mimi's Italian Restaurant & Piano Bar,933
589,Jing Du Restaurant,678
590,Restaurant Nippon,1225
591,"Lips Drag Queen Show Palace, Restaurant & Bar",827
592,Dragon Gold Chinese Restaurant,327
593,Restaurant Riki,1227
594,Ali Baba Turkish Cuisine,47
595,Bangkok Grand Palace,120
596,Ristorante Grifone,1235
597,525LEX Restaurant & Lounge,13
598,Ferro's Restaurant,448
599,Aunt Rosie's Restaurant,98
600,Five Star Banquet,456
601,Finestra Restaurant,451
602,Shamrat Indian Restaurant,1300
603,Campagnola Restaurant,193
604,Tanoshi Sushi,1374
605,Primola,1183
606,Swagat,1354
607,Maya,902
608,El Rey Restaurant,398
609,New Giant chinese restaurant,1002
610,Roti Boti,1250
611,Jimbos Greek Restaurant,676
612,Golden House Chinese Restaurant,534
613,Aliada Restaurant,48
614,Connolly's Pub & Restaurant,283
615,Tarallucci e Vino Restaurant,1375
616,Yama Japanese Restaurant,1495
617,Tocqueville Restaurant,1419
618,Edo Japanese Restaurant,349
619,Los Amigos Mexican Restaurant & Bar,834
620,Thai Elephant,1393
621,Alba's Pizza & Restaurant,42
622,Wah Fung Chinese Restaurant,1472
623,Porto Bello Pizza and Restaurant,1177
624,Euros Restaurant,433
625,Loukoumi Taverna,841
626,Agnanti Meze,32
627,Stamatis,1333
628,Narita Japanese Restaurant,978
629,Cabana Restaurant & Bar,184
630,Long River Chinese Restaurant,832
631,Dragon Chinese Restaurant,324
632,Armando's Pollo Rico,75
633,Mr. Lin's Chinese,959
634,Don Peppe,316
635,Chocolat Restaurant & Bar,259
636,Lolita's Mexican Restaurant,831
637,"Freddy's Soul Caribbean Restaurant, Inc.",480
638,Pipo's Mexican Restaurant,1160
639,Under D Tree Restaurant,1451
640,Polash Indian restaurant,1166
641,Sandy's Restaurant,1277
642,Mi Abuelita Restaurant,921
643,Olmeca Restaurante,1077
644,La Hacienda Restaurant,773
645,East Manor Buffet & Restaurant,342
646,Lao Dong Bei Restaurant,802
647,Student Biryani & Grill Restaurant,1339
648,Malay Restaurant 馬來餐廳,869
649,故鄉 Gu-Shine Taiwanese Restaurant,1520
650,Foo Kee Seafood Restaurant 富记,461
651,Fortune House Chinese Restaurant,470
652,No. 1 East Restaurant,1049
653,Sunway Restaurant 利苑食坊,1348
654,Good Kitchen Restaurant,545
655,Asian Jewels Seafood Restaurant 敦城海鲜酒家,87
656,Lake Pavilion Restaurant,795
657,Asian Gourmet Restaurant,86
658,Takara Sushi Japanese Restaurant,1370
659,Honmachi,617
660,New Ming Garden,1018
661,Success Chinese Resturant,1340
662,Luen Hop Chinese Restaurant,853
663,Superfine Restaurant And Catering,1350
664,G's Restaurant and Bakery,497
665,Puebla Restaurant II,1188
666,Bamboo Garden Restaurant,118
667,El Tesoro Ecuatoriano Restaurant,403
668,Gina's Restaurant,518
669,New Tony BBQ Restaurant,1032
670,Lucky 8 Chinese Restaurant,847
671,Saigon Asian Cuisine,1265
672,Anthony's Italian Restaurant,64
673,La Carreta Restaurant,762
674,Tequilitas Mexican Restaurant,1390
675,Peacock Restaurant,1124
676,La Caridad,760
677,Ming Wong Chinese Food,937
678,Marisco Centro (Seafood Restaurant & Fish Market),892
679,Punto de Sabor Restaurant,1194
680,Caridad Express Restaurant,209
681,Restaurante Ecuatoriano Genesis,1229
682,Kyoto Sushi 5,750
683,Spain Restaurant,1329
684,Jing Wah Chinese Restaurant,680
685,Sunrise Restaurant,1346
686,China Fun 1,242
687,Aldo's Pizzeria & Restaurant,45
688,New Carnival Chinese Food,990
689,Alfredo's Italian Seafood Restaurant,46
690,Vinicio's Restaurant,1467
691,Don Alex Restaurant,313
692,Double Chinese Restaurant,321
693,Tandoor Restaurant,1373
694,Cho-sen Garden,258
695,Sabor Latino Restaurant,1260
696,El Tenampa Mexican Restaurant,402
697,Frank Restaurant,474
698,Panna II Garden Indian Restaurant,1110
699,Polonia Restaurant,1170
700,Mancora Peruvian Restaurant & Bar,875
701,China Town Restaurant,253
702,Little Poland Restaurant,829
703,Empire Szechuan,424
704,Tokyo Sushi Japanese,1420
705,Sanma Japanese Restaurant,1279
706,Pho Mac,1145
707,Bella Mama Rose Italian Restaurant,131
708,bella mama rosa staten island,1512
709,One Chinatown Kitchen,1082
710,El Nuevo Amanecer Restaurant,379
711,El Nuevo Castillo Bar & Restaurant,383
712,East Broadway Restaurant,338
713,88 Reach House chinese restaurant,18
714,El Castillo de Madison Restaurant,363
715,Food King Chinese Restaurant,464
716,New Shama Restaurant,1027
717,Portofino Ristorante,1179
718,Feng's Garden,447
719,Simply Thai Restaurant,1310
720,La Vigna Restaurant,794
721,Alberto Restaurant,43
722,Manny's Restaurant,883
723,Emerald Restaurant,418
724,King David Kosher,721
725,Hong Kong Chinese Restaurant,614
726,Pongal Kosher South Indian Vegetarian Restaurant,1174
727,Haandi,574
728,Stella Del Mare Restaurant,1336
729,Peking Park Restaurant,1131
730,Riverpark,1236
731,ANH Vietnamese Restaurant,26
732,Il Forno Pizza and Pasta Restaurant,642
733,Rose Restaurant,1246
734,Star Light Grill Restaurant,1335
735,King's Taste Of Astoria,733
736,King Taco Mexican Restaurant & Pizzeria,729
737,El Anzuelo Fino - Restaurant,352
738,Sal's Bar Restaurant & Pizzeria,1268
739,Sunshine Restaurant & Grill,1347
740,New Wing Lee Restaurant,1035
741,La Puntilla Bar & Restaurant,789
742,La Ruana Paisa Colombian Restaurant,790
743,Sum Fung,1342
744,El Coqui Restaurant,365
745,Tikka Masala Restaurant,1414
746,El Dorado,368
747,Jenny's Restaurant,675
748,Hung Yang,629
749,Tu Casa Restaurant,1440
750,Mehak Mughlai Cuisine,906
751,Monte Bar & Restaurant,952
752,Tulcingo Restaurant,1444
753,Mijana Hookah Lounge & Restaurant,927
754,Yo Sushi,1499
755,Al Diwan,39
756,Tasty King,1380
757,Christina's Polish Restaurant,262
758,Chinese Musician Restaurant,256
759,Green Leaf Chinese Restaurant,561
760,Karczma,710
761,Acapulco Restaurant,27
762,Ott,1092
763,CinaMoon Restaurant,267
764,Fortune Cookies Chinese Restaurant,468
765,El Portal Restaurant,391
766,Rincon Latino Restaurant.,1233
767,The Copper Kettle Bar & Restaurant,1395
768,Rudys Deli,1255
769,Brooks 1890,173
770,Tito Rad's Grill & Restaurant,1418
771,I Am Thai Restaurant,630
772,Roc A Tone Restaurant,1238
773,Golden China,529
774,Carlos' Pizzaria & Restaurant,210
775,NO.1 H Chinese Restaurant,972
776,Ocha Japanese Restaurant,1071
777,Guadalupana Deli Restaurant,567
778,El Anzuelo Fino,351
779,El Buen Sabor Quisqueyano Restaurant,356
780,Real Madrid Restaurant,1213
781,Good Friend Chinese Restaurant,543
782,Peking Garden Restaurant,1129
783,El Tina Restaurant,405
784,New Home Sing,1011
785,Ajanta Indian Restaurant,35
