,name_google,name_foursquare,ratio_name,address_google,address_foursquare,ratio_address
1209,Mama's,Mama’s Coffee Shop & Restaurant,90,"13-01 40th Avenue, New York",New York,90
1210,"Go Ramen Go Life, Inc",Sunshine Restaurant Food & Catering Inc,86,"1307 40th Avenue, Long Island City",196 23 Jamaica Avenue,86
1211,The Buffs,The Golden Glass Restaurant,86,"1313 40th Avenue, Queens",1313 40th Ave,90
1212,LIC GRILL Indian and American Cuisine,N and J Restaurant,86,"3944 21st Street, Long Island City",Street,90
1213,The Penthouse LIC,The Golden Glass Restaurant,86,"8-08 Queens Plaza South, Long Island City",Queens Plaza S,90
1214,Melting Pot Cuisine,Annie Chan's Japanese Cuisine Restaurant,86,3601 Vernon Boulevard,333 Boulevard De La Cité-Des-Jeunes,86
1215,The Penthouse,The Golden Glass Restaurant,86,"8-08 Queens Plaza South, Long Island City",Queens Plaza S,90
1216,3Greeks Grill,Golden Krust Caribbean Bakery and Grill,86,35-61 Vernon Boulevard,333 Boulevard De La Cité-Des-Jeunes,86
1217,La Dueña Restaurant,La Rueda Restaurant,92,"1254 Morrison Avenue, The Bronx",311 Avenue X,86
1218,Mis Antojitos Juice Bar,La Kuchara Ecuadorian Restaurant Bar,86,"1268 Morrison Avenue, The Bronx",311 Avenue X,86
1219,Fu Xing,Fu Xing Restaurant,90,"1270 Morrison Avenue, The Bronx",311 Avenue X,86
1220,China Garden Restaurant,China Garden Restaurant,100,"1205 Stratford Avenue, The Bronx",196 23 Jamaica Avenue,86
1221,New Ranch,The New Ranch Restaurant,90,"1619 Westchester Avenue, The Bronx",1619 Westchester Ave,90
1222,Danny's Athens Restaurant,Athens Restaurant,95,"1621 Westchester Avenue, The Bronx",1621 Westchester Ave,90
1223,Lincoln Fried Chicken,O'Neals'/Lincoln Center Restaurant,86,"1635 Westchester Avenue, The Bronx",Westchester ave,90
1224,Yankee J-Z,"Golden ""Z"" Restaurant",86,"1599 Westchester Avenue, The Bronx",Westchester ave,90
1225,Edison's,Theresa's Polish American Restaurant,86,"1203 Manor Avenue, The Bronx",Between 39th and 40th street on 13th Avenue,86
1226,New Yankee,New Fulin Kwok Seafood Restaurant,86,"1616 Westchester Avenue, The Bronx",Westchester ave,90
1227,Lechonera & Pollo Sabroso,Pollo Sabroso,90,"1594 Westchester Avenue, The Bronx",1594 Westchester Ave,90
