,Borough,Neighborhood,Latitude,Longitude
47,Queens,Laurelton,40.67592539325349,-73.74452532701385
48,Bronx,Woodlawn-Wakefield,40.897939253567664,-73.85221688910812
49,Bronx,Bronxdale,40.86401307181572,-73.86490241828254
50,Brooklyn,East New York (Pennsylvania Ave),40.666567188909475,-73.89536553026102
51,Queens,South Ozone Park,40.676163529351776,-73.81946060298681
52,Brooklyn,Bath Beach,40.604278045889686,-74.00748870318047
53,Brooklyn,Bensonhurst West,40.612227286267405,-73.9952606277346
54,Queens,Maspeth,40.724003399440036,-73.90233129993985
55,Queens,Elmhurst-Maspeth,40.73832466868955,-73.89217461624229
56,Queens,College Point,40.780931494477926,-73.84280707098
57,Bronx,Rikers Island,40.79113857790849,-73.882656567848
58,Staten Island,Arden Heights,40.5526670111547,-74.18848453413688
59,Brooklyn,North Side-South Side,40.71492475633194,-73.95862691440473
60,Brooklyn,Brownsville,40.66400981255708,-73.91025593613641
61,Bronx,Schuylerville-Throgs Neck-Edgewater Park,40.82333909798062,-73.8235881188466
62,Queens,Richmond Hill,40.69454895332618,-73.83092779203888
63,Staten Island,Annadale-Huguenot-Prince's Bay-Eltingville,40.52867544495014,-74.1877014543314
64,Manhattan,Battery Park City-Lower Manhattan,40.7125107777455,-74.02663148270284
65,Manhattan,Lincoln Square,40.77485483247244,-73.98470074235682
66,Manhattan,Midtown-Midtown South,40.75574219485189,-73.98350446547151
67,Manhattan,Upper East Side-Carnegie Hill,40.77473812234651,-73.96117553340753
68,Brooklyn,Prospect Lefferts Gardens-Wingate,40.658752526915265,-73.94744303482015
69,Bronx,Highbridge,40.83783417644345,-73.9261602423719
70,Brooklyn,Seagate-Coney Island,40.57649087595868,-73.99123721128875
71,Bronx,North Riverdale-Fieldston-Riverdale,40.8995432646389,-73.90698618856818
72,Bronx,Spuyten Duyvil-Kingsbridge,40.88241431274549,-73.9106682695344
73,Brooklyn,Windsor Terrace,40.65362022157265,-73.97798416327443
74,Brooklyn,Prospect Heights,40.6776530379528,-73.96758902519268
75,Brooklyn,Canarsie,40.6380488064019,-73.8997516801686
76,Brooklyn,Flatbush,40.63790862109988,-73.96096990056007
77,Brooklyn,Flatlands,40.62628103159649,-73.93009837704685
78,Queens,Glen Oaks-Floral Park-New Hyde Park,40.74600213785307,-73.71102801218966
79,Queens,Douglas Manor-Douglaston-Little Neck,40.7638545841821,-73.73701249470696
80,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,40.81893868412011,-73.85533240014288
81,Brooklyn,Park Slope-Gowanus,40.67123654595927,-73.98390472508846
82,Staten Island,Charleston-Richmond Valley-Tottenville,40.525516555955626,-74.23354548671847
83,Staten Island,Rossville-Woodrow,40.54034198068653,-74.2078290822062
84,Manhattan,Central Harlem North-Polo Grounds,40.818265454767364,-73.94077327715469
85,Brooklyn,East New York,40.66095531903488,-73.87684035344934
86,Brooklyn,Cypress Hills-City Line,40.68218628099055,-73.87833585683212
87,Manhattan,Yorkville,40.777324762869206,-73.94870435153277
88,Queens,Auburndale,40.7510432840118,-73.7879504008153
89,Queens,East Flushing,40.75411724092505,-73.80729582780356
90,Bronx,Morrisania-Melrose,40.82752072529272,-73.90235329250415
91,Manhattan,Marble Hill-Inwood,40.867983210762866,-73.91711781263292
92,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,40.74759373266848,-73.99902217179908
93,Manhattan,West Village,40.73305335598129,-74.00154808595445
94,Manhattan,Upper West Side,40.79038825410436,-73.97390928317763
95,Bronx,Norwood,40.8771505720637,-73.87902248706008
96,Bronx,Bedford Park-Fordham North,40.86769038127306,-73.89018505698915
97,Bronx,Fordham South,40.858162690305015,-73.89953845704056
98,Bronx,Mount Hope,40.84906641793664,-73.90512337387312
