,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood,Neighborhood_Cat,Borough_Cat
1307,Dunkin',ChIJP79rXMhEwokRsGSLMwOVsIA,3.8,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",274.0,1.0,"1410 Avenue J, Brooklyn",40.62495699999999,-73.96193559999998,Brooklyn,Midwood,105,1
1308,Bella Pizza,ChIJmSOWQcpEwokRi1xwphrEXIg,3.9,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",104.0,1.0,"1604 Avenue H, Brooklyn",40.629897,-73.961106,Brooklyn,Midwood,105,1
1309,Papa John's Pizza,ChIJc53ltPhEwokRjQxTbAqLvDc,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",140.0,1.0,"189 Avenue U, Brooklyn",40.59674860000001,-73.97705040000002,Brooklyn,Bensonhurst East,15,1
1310,McDonald's,ChIJbcuCMwdFwokRVmBMMJ_QtLY,3.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1519.0,1.0,"2413 86th Street, Brooklyn",40.5993204,-73.9889772,Brooklyn,Bensonhurst East,15,1
1311,Chipotle Mexican Grill,ChIJT31ymrNFwokRcP15GZCm00o,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",735.0,1.0,"2940 Cropsey Avenue, Brooklyn",40.58330249999999,-73.98677550000002,Brooklyn,Seagate-Coney Island,143,1
1312,Dunkin',ChIJ8yyceLRFwokRVyfB8Gm4OJ4,4.1,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",20.0,1.0,"2978 Cropsey Avenue, Brooklyn",40.5823761,-73.986522,Brooklyn,Seagate-Coney Island,143,1
1313,Dunkin',ChIJLX18sWZEwokRYasDBKLvMAA,4.0,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",379.0,1.0,"373 Kings Highway, Brooklyn",40.6049554,-73.9765546,Brooklyn,Bensonhurst East,15,1
1314,Dunkin',ChIJX7drKOJFwokRh_wzkQTNklU,1.0,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,1.0,"482A Kings Highway, Brooklyn",40.604031,-73.971874,Brooklyn,Homecrest,81,1
1315,Wingstop,ChIJYbKMNqJbwokRAe0oBo46D9I,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",62.0,2.0,"284 Broadway, Brooklyn",40.708468,-73.958668,Brooklyn,North Side-South Side,117,1
1316,La Isla,ChIJMW19k-BbwokRF4CpcUXy7ME,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",116.0,1.0,"293 Broadway, Brooklyn",40.7086974,-73.95812159999998,Brooklyn,North Side-South Side,117,1
1317,Crown Fried Chicken,ChIJqY2nw-1bwokR_Piokxqo1QA,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",60.0,1.0,"822 Myrtle Avenue, Brooklyn",40.69519019999999,-73.949444,Brooklyn,Bedford,11,1
1318,Oaxaca Taqueria,ChIJ79B_pJZbwokRxjk2ivbgNKU,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",262.0,1.0,"1116 Bedford Avenue, Brooklyn",40.68634,-73.95476699999998,Brooklyn,Clinton Hill,34,1
1319,Wing Hing,ChIJN74wEZpbwokRz74zgQgdrW8,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",43.0,1.0,"1221 Fulton Street, Brooklyn",40.6807283,-73.95263849999998,Brooklyn,Bedford,11,1
1320,Kennedy Fried Chicken,ChIJSbWlq4tbwokRm2qoMtWdUP4,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",55.0,1.0,"306 Marcus Garvey Boulevard, Brooklyn",40.6869275,-73.93900889999998,Brooklyn,Stuyvesant Heights,157,1
1321,Crown Fried Chicken,ChIJn1R6ZgtcwokRpitNtAiBsAg,3.5,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",139.0,1.0,"108 Malcolm X Boulevard, Brooklyn",40.6898746,-73.93069919999998,Brooklyn,Stuyvesant Heights,157,1
1322,Crown Fried Chicken,ChIJBRm9mnNcwokRulg3HSed10U,4.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",79.0,1.0,"229 Malcolm X Boulevard, Brooklyn",40.6851048,-73.9292865,Brooklyn,Stuyvesant Heights,157,1
1323,Dunkin',ChIJYSktm2hcwokRTZpAKd2l-38,3.5,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",259.0,1.0,"1993 Atlantic Avenue, Brooklyn",40.67702639999999,-73.9160373,Brooklyn,Ocean Hill,121,1
1324,Subway,ChIJXcDsgE9cwokRDeIzF4llzRg,3.5,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",68.0,1.0,"1842 East New York Avenue, Brooklyn",40.676325,-73.90058619999998,Brooklyn,East New York (Pennsylvania Ave),51,1
1325,Golden Krust Caribbean Restaurant,ChIJ08zTgE9cwokRr4x_KEPaU5w,3.3,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",180.0,1.0,"1848 East New York Avenue, Brooklyn",40.676314,-73.90047,Brooklyn,East New York (Pennsylvania Ave),51,1
1326,Crown Fried Chicken,ChIJq5RWmUNcwokRsiL2a0wBkeA,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",22.0,1.0,"2214 Fulton Street, Brooklyn",40.6779914,-73.90770650000002,Brooklyn,Ocean Hill,121,1
1327,Popeyes Louisiana Kitchen,ChIJeRfYcEZcwokRcMgtPo9SN4E,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",715.0,1.0,"1630 Bushwick Avenue, Brooklyn",40.680349,-73.90270600000002,Brooklyn,Cypress Hills-City Line,41,1
1328,Dunkin',ChIJLQ21ZkZcwokRyJFTwfyGy2U,3.7,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",111.0,1.0,"1610 Bushwick Avenue, Brooklyn",40.6804438,-73.90338849999998,Brooklyn,Bushwick South,25,1
1329,Dunkin',ChIJqYLHJU9cwokRjZGYl1IAHRc,4.1,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",273.0,1.0,"43 Jamaica Avenue, Brooklyn",40.6781466,-73.8983366,Brooklyn,Cypress Hills-City Line,41,1
1330,McDonald's,ChIJTfdsIk9cwokR_ofAInvhUrM,3.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1368.0,1.0,"15 Jamaica Avenue, Brooklyn",40.6775524,-73.89774299999998,Brooklyn,East New York,50,1
