,GeoType,GeoID,Borough,Pop_1E,MaleE,FemE,MdAgeE,MnHHIncE,EA_LTHSGrE,EA_BchDHE,NtvE,Fb1E
109,NTA2010,MN24,Manhattan,42698,20904,21794,36.6,266241.0,3196,24433,30796,11902
110,NTA2010,MN50,Manhattan,22032,9762,12270,36.9,145918.0,329,13340,17844,4188
111,NTA2010,MN19,Manhattan,50180,23088,27092,43.0,223563.0,946,35743,38160,12020
112,NTA2010,MN40,Manhattan,55649,24824,30825,51.2,332403.0,742,38605,44909,10740
113,NTA2010,MN12,Manhattan,132455,60032,72423,43.5,205755.0,7024,78789,104012,28443
114,NTA2010,MN35,Manhattan,73052,35694,37358,37.3,71900.0,13460,21160,39192,33860
115,NTA2010,MN36,Manhattan,93663,46592,47071,35.0,67649.0,21807,20711,48924,44739
116,NTA2010,MN23,Manhattan,66258,32408,33850,37.6,213703.0,797,45280,55084,11174
117,NTA2010,MN32,Manhattan,78241,33079,45162,37.0,168839.0,1643,51730,61082,17159
118,NTA2010,QN98,Queens,0,0,0,,,0,0,0,0
119,NTA2010,QN70,Queens,74767,36031,38736,34.9,83094.0,8040,30392,43807,30960
120,NTA2010,QN48,Queens,20588,10127,10461,44.8,92197.0,2493,5359,10213,10375
121,NTA2010,QN76,Queens,39203,18578,20625,36.8,84877.0,4658,5074,24498,14705
122,NTA2010,QN46,Queens,43212,21089,22123,44.8,104934.0,4213,13928,24573,18639
123,NTA2010,QN43,Queens,27733,13702,14031,39.3,103468.0,2528,6846,15934,11799
124,NTA2010,QN10,Queens,27894,14330,13564,47.9,112818.0,2007,8846,24250,3644
125,NTA2010,QN35,Queens,43476,21347,22129,37.2,84052.0,5975,11326,19150,24326
126,NTA2010,QN33,Queens,21207,9702,11505,44.8,112055.0,1322,5131,12962,8245
127,NTA2010,QN23,Queens,24795,12445,12350,38.6,75602.0,4152,3131,12987,11808
128,NTA2010,QN25,Queens,58498,29883,28615,34.2,61173.0,11966,6431,25083,33415
129,NTA2010,QN45,Queens,25633,12087,13546,48.5,112436.0,1659,9176,15695,9938
130,NTA2010,QN27,Queens,19790,9570,10220,36.8,67905.0,3319,2124,9207,10583
131,NTA2010,QN52,Queens,25677,12740,12937,44.4,70263.0,5290,4420,9197,16480
132,NTA2010,QN29,Queens,81745,41037,40708,37.5,65330.0,14649,14977,27018,54727
133,NTA2010,QN50,Queens,24234,12400,11834,40.6,77369.0,4039,5374,8244,15990
134,NTA2010,QN15,Queens,56522,26087,30435,31.6,67475.0,8152,9502,39293,17229
135,NTA2010,QN22,Queens,70219,31956,38263,43.8,56347.0,16112,10961,20279,49940
136,NTA2010,QN17,Queens,88313,40491,47822,42.9,104553.0,4673,40850,46536,41777
137,NTA2010,QN41,Queens,18699,9048,9651,43.6,94530.0,1338,6734,9724,8975
138,NTA2010,QN47,Queens,22700,10208,12492,47.2,101093.0,1276,8999,15481,7219
139,NTA2010,QN44,Queens,24365,11077,13288,49.0,103468.0,1868,8092,15096,9269
140,NTA2010,QN19,Queens,35576,17588,17988,39.0,91661.0,3492,6439,23932,11644
141,NTA2010,QN12,Queens,41470,19072,22398,34.8,63787.0,6265,5737,28713,12757
142,NTA2010,QN07,Queens,21448,10228,11220,38.6,88956.0,2211,3334,11979,9469
143,NTA2010,QN31,Queens,69295,35835,33460,36.6,104067.0,7866,26343,37216,32079
144,NTA2010,QN28,Queens,98728,49417,49311,40.2,75438.0,16450,19862,41128,57600
145,NTA2010,QN61,Queens,53932,26306,27626,36.0,63445.0,10494,8364,19837,34095
146,NTA2010,QN06,Queens,26517,12960,13557,42.2,97199.0,2231,8565,12847,13670
147,NTA2010,QN60,Queens,23166,11409,11757,39.6,89377.0,1437,8023,13555,9611
148,NTA2010,QN37,Queens,37584,18157,19427,36.2,84294.0,2742,10367,22904,14680
149,NTA2010,QN66,Queens,26544,12529,14015,42.0,104916.0,1569,5410,16015,10529
150,NTA2010,QN57,Queens,29219,13929,15290,45.0,100462.0,2993,6034,23340,5879
151,NTA2010,QN30,Queens,32179,15931,16248,38.1,93741.0,3236,6167,19593,12586
152,NTA2010,QN21,Queens,40435,18895,21540,42.8,96352.0,3635,10136,26131,14304
153,NTA2010,QN51,Queens,50231,23927,26304,44.7,73597.0,8591,8913,20049,30182
154,NTA2010,QN26,Queens,54146,28796,25350,31.2,68097.0,14917,2453,19825,34321
155,NTA2010,QN42,Queens,30316,15145,15171,44.1,100540.0,2207,9629,17007,13309
156,NTA2010,QN71,Queens,24732,12314,12418,34.4,85973.0,3053,8604,14853,9879
157,NTA2010,QN56,Queens,24511,11653,12858,37.1,90427.0,3337,4065,14478,10033
158,NTA2010,QN99,Queens,159,107,52,42.4,70110.0,22,35,123,36
159,NTA2010,QN38,Queens,36975,16891,20084,35.0,77575.0,3405,7552,22937,14038
160,NTA2010,QN34,Queens,54256,25985,28271,40.2,90916.0,6104,9162,28533,25723
161,NTA2010,QN62,Queens,20269,10015,10254,39.7,76677.0,4323,3603,7518,12751
162,NTA2010,QN68,Queens,19228,9270,9958,34.2,53740.0,2665,3381,11806,7422
163,NTA2010,QN18,Queens,27739,12674,15065,44.8,82629.0,2217,11038,11454,16285
164,NTA2010,QN54,Queens,65068,32732,32336,35.6,82325.0,11579,9680,28074,36994
165,NTA2010,QN20,Queens,75437,37514,37923,33.9,81047.0,9511,13827,41373,34064
166,NTA2010,QN05,Queens,26117,12076,14041,38.3,100691.0,2319,4791,14934,11183
167,NTA2010,QN01,Queens,43253,19954,23299,34.9,73910.0,6345,4602,26133,17120
168,NTA2010,QN55,Queens,82931,40807,42124,38.7,90789.0,15652,11285,37348,45583
169,NTA2010,QN02,Queens,27649,11895,15754,39.8,71380.0,2255,4455,20442,7207
170,NTA2010,QN03,Queens,22380,9834,12546,34.4,92616.0,2062,3626,13675,8705
171,NTA2010,QN08,Queens,53134,24639,28495,39.8,93423.0,4587,8983,34598,18536
172,NTA2010,QN72,Queens,48235,24347,23888,36.3,96276.0,4855,17667,30147,18088
173,NTA2010,QN49,Queens,31971,15445,16526,45.5,106229.0,3479,9031,20561,11410
174,NTA2010,QN53,Queens,60572,30148,30424,36.9,85858.0,9218,9717,31122,29450
175,NTA2010,QN63,Queens,43841,22295,21546,40.1,74166.0,6828,10446,17873,25968
176,NTA2010,SI01,Staten Island,28976,14042,14934,43.1,126073.0,1559,7792,24997,3979
177,NTA2010,SI48,Staten Island,26982,13427,13555,39.5,108687.0,1106,5984,22936,4046
178,NTA2010,SI11,Staten Island,24275,11775,12500,39.4,114781.0,1225,6098,20701,3574
179,NTA2010,SI14,Staten Island,16292,7470,8822,38.7,96756.0,1431,4360,10953,5339
180,NTA2010,SI54,Staten Island,42306,20102,22204,43.2,107248.0,1964,10661,34229,8077
181,NTA2010,SI08,Staten Island,21707,10482,11225,35.2,77855.0,2160,4529,14628,7079
182,NTA2010,SI12,Staten Island,31907,15716,16191,32.9,78051.0,3763,5219,23181,8726
183,NTA2010,SI35,Staten Island,17105,8544,8561,42.0,105222.0,1449,4967,13696,3409
184,NTA2010,SI45,Staten Island,20933,10157,10776,41.6,99118.0,1511,4506,15364,5569
185,NTA2010,SI05,Staten Island,41936,19851,22085,40.7,102974.0,3478,9745,30359,11577
186,NTA2010,SI25,Staten Island,20509,9487,11022,44.7,96053.0,1384,4108,16373,4136
187,NTA2010,SI36,Staten Island,25453,12166,13287,41.1,87523.0,2792,5333,17535,7918
188,NTA2010,SI99,Staten Island,0,0,0,,,0,0,0,0
189,NTA2010,SI28,Staten Island,19545,9995,9550,36.2,84130.0,1960,3263,14935,4610
190,NTA2010,SI32,Staten Island,22197,11223,10974,40.8,112964.0,1175,5133,19667,2530
191,NTA2010,SI37,Staten Island,25347,12463,12884,38.3,73006.0,3497,5250,17269,8078
192,NTA2010,SI24,Staten Island,32348,15513,16835,44.0,121062.0,2132,8626,23436,8912
193,NTA2010,SI22,Staten Island,32172,14953,17219,36.8,69915.0,3704,6416,25106,7066
194,NTA2010,SI07,Staten Island,24111,12058,12053,40.9,109827.0,1385,6336,19890,4221
