name_google,name_foursquare,ratio_name,address_google,address_foursquare,ratio_address
Abe's Pagoda Bar,El Morro Restaurant & Bar,86,"108 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Sazon Nunez,El Monstro del Sazon Pizzaria & Restaurant,86,"96 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Honore Club,Club Deli Restaurant,86,"173 Irving Avenue, Brooklyn",brooklyn,90
Lee Garden,Lee Garden Chinese,90,"121 Wyckoff Avenue, Brooklyn",121 Wyckoff Ave,90
La Abuelita Deli,Deli,90,"123 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Sapore Di Italia Restaurant,Restaurant,90,"160 Irving Avenue, Brooklyn",brooklyn,90
Sal's Pizzeria,Sal's Pizzeria,100,"119 Wyckoff Avenue #1, Brooklyn",Wyckoff Ave,90
New Santa Ana,New Santa Ana Restaurant,90,"187 Irving Avenue, Brooklyn",187 Irving Ave,90
Amaranto,Pizza Maraton Restaurant,79,"887 Hart Street, Brooklyn",brooklyn,90
Mesa Azteca,Azteca,90,"91 Wyckoff Avenue, Brooklyn",91 Wyckoff Ave,90
Chimu Express,Cam Tak Express Restaurant,86,"180 Irving Avenue, Brooklyn",brooklyn,90
Faro,Faros Restaurant,90,"436 Jefferson Street, Brooklyn",brooklyn,90
Union Pizza Works,Union Pizza Works,100,"423 Troutman Street, Brooklyn",brooklyn,90
Tortilleria Mexicanas Los Hermanos,Mexicana,90,"271 Starr Street, Brooklyn",brooklyn,90
Wok 2 Bar,Wok Wok,95,"280 Knickerbocker Avenue, Brooklyn",brooklyn,90
El Burro Mexican Grill,Golden Krust Caribbean Bakery and Grill,86,"324 Suydam Street, Brooklyn",brooklyn,90
Cholula Express Deli Restaurant,Deli Restaurant,90,"1480 Dekalb Avenue, Brooklyn",brooklyn,90
Everyday Chinese,Everyday Chinese Restaurant,90,"890 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
alberto's creep lounge n.y.c,Moti's,86,"1615 Putnam Avenue, Queens",Between 39th and 40th street on 13th Avenue,86
Super Pollo,Super Pollo,100,"865 Woodward Avenue, Ridgewood",865 Woodward Ave,90
Cham Thai Cuisine,Mekong Thai & Vietnamese Restaurant,86,"881 Woodward Avenue, Queens",Between 39th and 40th street on 13th Avenue,86
Rama,Miramar Seafood Restaurant,90,"881 Woodward Avenue, Ridgewood",311 Avenue X,86
Norma's Corner Shoppe,Theresa's Polish American Restaurant,86,"59-02 Catalpa Avenue, Ridgewood",205-02 Hillside Ave,86
Porcelain,Maloney & Porcelli,74,"880 Woodward Avenue, Ridgewood",311 Avenue X,86
Julia's Beer and Wine Bar,Ambrosia Italian and Albanian Restaurant,86,"818 Woodward Avenue, Queens",Between 39th and 40th street on 13th Avenue,86
Creme&sugar,Sugar Hill Restaurant & Supper Club,86,"58-42 Catalpa Avenue, Ridgewood",311 Avenue X,86
El Manaba,El Morro Restaurant & Bar,86,"341 Saint Nicholas Avenue, Ridgewood",196 23 Jamaica Avenue,86
Cevicheria rosita,Puerto Colombia Restaurant Cevicheria-Bar,86,"303 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Himalayan Momo,Himalayan Yak,78,"329 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Lucky Garden,Lucky,90,"305 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Quick n fresh,All Refrigeration 'N Restaurant Equipment,86,"323 Wyckoff Avenue, Ridgewood",Wyckoff Ave,90
K&K Super Buffet,K V Q Chinese Restaurant,86,"341 Saint Nicholas Avenue, Ridgewood",196 23 Jamaica Avenue,86
The Bushwick Diner,Diner,90,"299 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
El Encebollado de Rossy,La Roja de Todos Restaurant & Bakery,86,"293 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Bklyn Cart Halal Food Est. 1997,Halal Food,90,"292 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Mexican Food Cart,Mexican Food Cart,100,"292 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Gourmet Deli & Grill,Gourmet Deli & Grill,100,"280 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Place Fried Chicken & Pizza,Pizza Fried Chicken,95,"285 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Tamales Atlixco,Li Li,86,"Myrtle–Wyckoff, Brooklyn",brooklyn,90
Jade Asian Express,Jade Fountain Chinese Cuisine,86,"1641 Woodbine Street, Ridgewood",Street,90
Zema Deli Grocery Inc.,Grocery Deli Inc,95,"54-33 Myrtle Avenue, Ridgewood",Myrtle Ave.,90
I Sushi,Ginpachi Sushi Restaurant,90,"1635 Woodbine Street, Ridgewood",1635 Woodbine St,90
El Mananero del Sabor (breakfast cart),El Patio Restaurant,86,"298 Wyckoff Avenue, Brooklyn",98 Wyckoff Ave,90
Wyckoff restaurant,Restaurant,90,"250 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Mullanes Bar & Grill,Bar Sol De Quito Restaurant II,86,"71 Lafayette Avenue, Brooklyn",Lafayette Ave,90
Café Paulette,Crotona's Café Restaurant,86,"1 South Elliott Place, Brooklyn",brooklyn,90
Damas Falafel House,Hunan House Chinese Restaurant,86,"407 Myrtle Avenue, Brooklyn",brooklyn,90
Cap't Loui,T&G Restaurant Spot,86,413 Myrtle Avenue,Myrtle Ave.,90
Putnam's Pub & Cooker,Theresa's Polish American Restaurant,86,"419 Myrtle Avenue, Brooklyn",brooklyn,90
LaRina Pastificio & Vino,Vino's Deli II,86,"387 Myrtle Avenue, Brooklyn",brooklyn,90
Myrtle Thai,Myrtle Thai,100,"438 Myrtle Avenue, Brooklyn",438 Myrtle Ave,90
Spice & Grill: The Indian Kitchen,Spice,90,"441 Myrtle Avenue, Brooklyn",brooklyn,90
Gentleman Farmer Fort Greene,Greene Food Deli,86,"378 Myrtle Avenue, Brooklyn",brooklyn,90
Buff Patty,Buff Patty Restaurant & Bakery,90,"376 Myrtle Avenue, Brooklyn",376 Myrtle Ave,90
Thai Holic,Mekong Thai & Vietnamese Restaurant,86,"372 Myrtle Avenue, Brooklyn",brooklyn,90
Thai 101,Thai 101,100,"448 Myrtle Avenue, Brooklyn",brooklyn,90
El Cofre,El Cofre,100,"454 Myrtle Avenue, Brooklyn",454 Myrtle Ave,90
Peck's,Peck’s Food,90,"455A Myrtle Avenue, Brooklyn",brooklyn,90
Bar Bolinas,El Morro Restaurant & Bar,86,"455 Myrtle Avenue, Brooklyn",455 Myrtle Ave,90
Farmer in the Deli,Farmer In The Deli,100,"357 Myrtle Avenue, Brooklyn",brooklyn,90
Joe & Sal's Pizzeria (Fort Greene),Sal's Pizzeria,90,"353 Myrtle Avenue, Brooklyn",353 Myrtle Ave,90
Chung Chun Kitchen,병천자매순대 (Byun Chung Soon Dae Restaurant) (Byun Chung Soon Dae Restaurant),86,"338 Myrtle Avenue, Brooklyn",brooklyn,90
E-Bite,E and J Restaurant,86,"336 Myrtle Avenue, Brooklyn",336 Myrtle Ave,90
Ace Thai Kitchen,Mekong Thai & Vietnamese Restaurant,86,"330 Myrtle Avenue, Brooklyn",brooklyn,90
Los tacos - Taqueria Fort Greene,Los Pollitos III,86,"154 Carlton Avenue, Brooklyn",brooklyn,90
Burger UrWay,Go Burger by BLT restaurants Group,86,"354 Myrtle Avenue, Brooklyn",brooklyn,90
Luv N Oven Pizza,LuV-N-Oven Pizza,100,"120 Dekalb Avenue, Brooklyn",brooklyn,90
Greene Bites Deli and Grille,Deli,90,"116 Dekalb Avenue, Brooklyn",brooklyn,90
The Juice Box BK,The Golden Glass Restaurant,86,"114 Dekalb Avenue, Brooklyn",brooklyn,90
Caffe e Vino,E and J Restaurant,86,"112 Dekalb Avenue, Brooklyn",brooklyn,90
Hot Chix,Hot Pot Jamaican & American Restaurant,86,"110 Dekalb Avenue, Brooklyn",brooklyn,90
Gourmet Garden 8,Garden Gourmet Deli,88,"108 Dekalb Avenue, Brooklyn",brooklyn,90
Rocky's Deli & Supermarket,Deli,90,"721 Fulton Street, Brooklyn",Fulton,90
National,National,100,"723 Fulton Street, Brooklyn",Fulton,90
Las Santas,Las Juanas Restaurant Asadero,86,"572 Fulton Street, Brooklyn",Fulton,90
The Food Sermon,The Food Sermon,100,"141 Flushing Avenue Building 77, Brooklyn",brooklyn,90
Rustik Tavern,The Porterhouse at Fraunces Tavern,86,"Building 77, Brooklyn",brooklyn,90
BAMcafé,Alma,68,"30 Lafayette Avenue, Brooklyn",Lafayette Ave,90
Via Caramico,Via Restaurant and Bar,86,"The Center Building, 33-00 Northern Boulevard, Queens",Cristofordo Columbo Boulevard,86
Doha Nightclub NYC,The NYC Bull - Restaurant & Rotisserie,86,3834 31st Street,31st Street,95
Astoria Seafood,Sea,90,"3710 33rd Street, Queens",Street,90
Makina Cafe,Stars Cafe & Restaurant,86,"36-56 34th Street, Queens",Street,90
BigAppleEats,Big Apple Restaurant,69,"32-23 37th Avenue, Queens",7th Ave,90
Beija Flor,La Flor del Canario Restaurant,86,"38-02 29th Street, Long Island City",9th St,90
Michael's Café,Theresa's Polish American Restaurant,86,"27-05 39th Avenue, Long Island City",39th ave,90
Big NY Chicken,Big NY Fried Chicken,95,"40-35 21st Street, Long Island City",Street,90
Cafe Triskell,Stars Cafe & Restaurant,86,"33-04 36th Avenue, Astoria",Between 39th and 40th street on 13th Avenue,86
Fusion Juice Bar,El Morro Restaurant & Bar,86,"34-02 36th Avenue, Astoria",34-02 36th Ave,90
Ecuadorian Food II,Ecuadorian Food II,100,3406 36th Avenue,Between 39th and 40th street on 13th Avenue,86
Psari,Psari Seafood Restaurant & Bar,90,"32-10 36th Avenue, Long Island City",32-10 36th Ave,90
Mad Donkey Beer Bar & Grill,"Caribbean American Ent. Bar, Lounge & Restaurant",86,"32-07 36th Avenue, Astoria",Between 39th and 40th street on 13th Avenue,86
Copacabana,Copacabana Brazilian Restaurant,90,"31-13 36th Avenue, Queens",Between 39th and 40th street on 13th Avenue,86
