,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood
5922,Knapp Lucky Star,ChIJNXtGz2JDwokRk_zUPbX3ezs,3.9,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",51.0,,"2149 Knapp Street, Brooklyn",40.600129200000005,-73.9336783,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5923,Burger King,ChIJAQDwvmJDwokR_rvNHMgNpbg,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",13.0,1.0,"2228 Gerritsen Avenue, Brooklyn",40.600898,-73.9347422,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5924,Restaurant,ChIJT8WSLy9FwokRZ268WuLLgmw,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,"3680 Nostrand Avenue, Brooklyn",40.5926584,-73.9402061,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5925,Dunkin',ChIJidFVH4FEwokRYDNBKmhM8jk,3.9,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",100.0,1.0,"3701 Nostrand Avenue, Brooklyn",40.5936154,-73.940221,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5926,Great Wall,ChIJkfNLF4FEwokRQl1NaKBpE7Y,3.8,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",54.0,1.0,"2932 Avenue X, Brooklyn",40.593644,-73.9402246,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5927,Burger Box,ChIJ2XGH9zRFwokRUpHJRhlGGlM,4.4,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",82.0,,"2930 Avenue X, Brooklyn",40.59365349999999,-73.94025239999998,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5928,Kennedy's,ChIJf2SWkrRDwokR_JT_AeuEQEM,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",384.0,2.0,"406 Bayside, New York",40.561376700000004,-73.9209357,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
5929,Dugout,ChIJN8YZbe9DwokRzOfzluksFoo,4.2,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",10.0,,"57 Point Breeze Avenue, Queens",40.5592915,-73.91977969999998,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
5930,Blarney Castle,ChIJYS8doUtCwokRYEs3oC4fPNU,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",49.0,,"20224 Rockaway Point Boulevard, Breezy Point",40.561341600000006,-73.9119856,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
5931,Country Heart Cooking,ChIJsZ15EPBDwokReXqhkH2asc4,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",23.0,,"2020 Rockaway Point Boulevard, Queens",40.5613347,-73.91193929999999,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
5932,The Bayhouse of Breezy Point (Take out and Delivery Only),ChIJf2SWkrRDwokR9AJu_NNcgzg,4.1,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",125.0,2.0,"500 Bayside, Breezy Point",40.5647335,-73.9116185,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
5933,Breezy Point Surf Club,ChIJmXCSHP9DwokRI4xRfqR14F0,4.1,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",112.0,,"1 Beach 227th Street, Breezy Point",40.552019,-73.931901,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
5934,Silver Gull Beach Club,ChIJT1VVVcJDwokR59gkDEDDjio,4.1,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",93.0,,"1 Beach 193rd Street, Breezy Point",40.55764449999999,-73.9024007,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
5935,Breezy Point Surf Club,ChIJmXCSHP9DwokRI4xRfqR14F0,4.1,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",113.0,,"1 Beach 227th Street, Breezy Point",40.552019,-73.931901,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
5936,Roll N Roaster,ChIJyZn7GXlEwokR8z0rpM0kTUU,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",3259.0,1.0,"2901 Emmons Avenue, Brooklyn",40.5841753,-73.9396348,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5937,Tiberio Di Mare,ChIJ-e2_mytowokRKsyRYXItT0Y,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",53.0,2.0,"155 B 116th Street, New York",40.5788531,-73.8371011,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
5938,Cuisine By Claudette,ChIJGeNXgytowokR7f51yHzbPAI,4.6,"['restaurant', 'meal_delivery', 'bakery', 'meal_takeaway', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",219.0,2.0,"143 B 116th Street, Queens",40.578789,-73.836979,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
5939,Kim's Restaurant,ChIJHeKvvytowokRe4jQaRcrC7c,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",61.0,1.0,"116-06 Rockaway Beach Boulevard, Rockaway Park",40.5798386,-73.8377179,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
5940,Ciro's,ChIJZzSUkCtowokROek4IpzIsT8,4.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",165.0,1.0,"171 B 116th Street, Rockaway Park",40.579157,-73.8370236,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
5941,Sakura Japanese restaurant,ChIJDxvh6itowokRvhSA2h4ljoA,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",86.0,2.0,"215 B 116th Street, Queens",40.5800846,-73.83756199999998,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
5942,Brisas Del Mar II,ChIJI9WzfitowokRyZ19pCjAAEM,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",84.0,1.0,"160 B 116th Street, Rockaway Park",40.579058399999994,-73.83656500000001,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
5943,Pizza D'amore,ChIJj5T3f65pwokR4siMO7xQ_2Y,3.9,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",115.0,,"208 B 116th Street, Queens",40.580149600000006,-73.83707270000001,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
5944,Last Stop Gourmet Shop,ChIJGfuOwytowokRKQsWvQPvHJk,4.3,"['restaurant', 'meal_delivery', 'food', 'point_of_interest', 'establishment']",186.0,1.0,"222 B 116th Street, New York",40.580435200000004,-73.8372868,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
5945,Kam Fung,ChIJGfuOwytowokR3n2AvFB_aOU,3.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",56.0,2.0,"261 B 116th Street, Rockaway Park",40.580965500000005,-73.83819989999998,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
