,GeoID,GeoID_cat
0,BK41,18
1,BK88,38
2,BK41,18
3,BK28,7
4,BK28,7
5,BK28,7
6,BK88,38
7,QN51,144
8,QN52,145
9,QN51,144
10,QN51,144
11,QN51,144
12,QN51,144
13,QN51,144
14,QN51,144
15,QN26,127
16,QN27,128
17,QN26,127
18,QN26,127
19,QN28,129
20,QN28,129
21,QN07,114
22,QN06,113
23,QN34,134
24,QN07,114
25,QN06,113
26,BK25,4
27,BK25,4
28,BK25,4
29,BK25,4
30,BK25,4
31,QN41,137
32,QN06,113
33,QN06,113
34,QN08,115
35,QN33,133
36,QN08,115
37,QN61,152
38,QN06,113
39,QN35,135
40,QN61,152
41,QN35,135
42,BK44,20
43,BK44,20
44,BK44,20
45,BK44,20
46,BK44,20
47,BK44,20
48,BK17,1
49,BK17,1
50,BK41,18
51,BK95,41
52,BK95,41
53,BK60,24
54,BK91,40
55,BX33,62
56,BX39,67
57,BK69,29
58,BK69,29
59,BK69,29
60,BK69,29
61,BK69,29
62,BK75,31
63,QN61,152
64,QN61,152
65,QN61,152
66,QN61,152
67,QN61,152
68,QN61,152
69,QN35,135
70,QN35,135
71,QN08,115
72,QN08,115
73,QN01,109
74,QN01,109
75,QN61,152
76,QN01,109
77,BX10,51
78,BX99,79
79,BX10,51
80,BX10,51
81,BX10,51
82,BX10,51
83,BX10,51
84,BX10,51
85,BX10,51
86,BX10,51
87,BX10,51
88,BX10,51
89,BX10,51
90,BX10,51
91,BX10,51
92,BX10,51
93,QN33,133
94,QN33,133
95,BK26,5
96,BK29,8
97,BK28,7
98,BK29,8
99,BK28,7
100,BK29,8
101,BK73,30
102,BK75,31
103,BK35,14
104,BK35,14
105,BK35,14
106,BK35,14
107,BK78,34
108,BK81,35
109,BK81,35
110,BK35,14
111,BK61,25
112,BK61,25
113,BK64,27
114,BK63,26
115,BK63,26
116,BK60,24
117,BK96,42
118,BK91,40
119,BK96,42
120,BX31,61
121,BX31,61
122,BX31,61
123,BX31,61
124,BX03,45
125,BK82,36
126,BK58,23
127,BK91,40
128,BK91,40
129,BK77,33
130,BK77,33
131,BK77,33
132,BK77,33
133,QN20,122
134,QN20,122
135,BK77,33
136,QN20,122
137,BK77,33
138,QN20,122
139,BK77,33
140,QN20,122
141,QN20,122
142,QN20,122
143,QN20,122
144,BK29,8
145,BK38,16
146,BK37,15
147,BK68,28
148,BK68,28
149,BK68,28
150,BK68,28
151,QN70,156
152,QN68,155
153,QN70,156
154,BX08,49
155,BX17,54
156,BX55,75
157,BX17,54
158,BX08,49
159,BX46,72
160,BX46,72
161,BX46,72
162,BX59,76
163,BX46,72
164,BX46,72
165,BX55,75
166,BX46,72
167,BX27,57
168,BX27,57
169,QN53,146
170,QN19,121
171,QN19,121
172,QN19,121
173,BX28,58
174,BX28,58
175,BX28,58
176,BX30,60
177,BX28,58
178,BX43,70
179,BX05,46
180,QN35,135
181,QN38,136
182,QN38,136
183,QN41,137
184,MN15,89
185,MN17,90
186,MN17,90
187,MN15,89
188,MN17,90
189,MN15,89
190,MN15,89
191,MN15,89
192,MN15,89
193,MN15,89
194,MN15,89
195,MN17,90
196,MN15,89
197,MN15,89
198,MN15,89
199,MN15,89
200,MN15,89
201,QN34,134
202,QN34,134
203,QN34,134
204,QN30,131
205,QN30,131
206,QN30,131
207,QN50,143
208,QN50,143
209,QN29,130
210,QN50,143
211,QN29,130
212,QN29,130
213,QN29,130
214,QN29,130
215,QN50,143
216,QN29,130
217,QN29,130
218,QN29,130
219,QN18,120
220,QN29,130
221,QN29,130
222,QN29,130
223,QN29,130
224,BX62,77
225,BX62,77
226,BX44,71
227,BX44,71
228,BX44,71
229,BX07,48
230,BX07,48
231,BX07,48
232,BX49,73
233,BK82,36
234,QN55,148
235,QN55,148
236,QN55,148
237,QN55,148
238,QN57,150
239,QN55,148
240,QN55,148
241,QN55,148
242,BK28,7
243,BK28,7
244,BK27,6
245,BK27,6
246,BK27,6
247,BK27,6
248,BK28,7
249,BK28,7
250,BK28,7
251,BK28,7
252,QN30,131
253,QN30,131
254,QN30,131
255,QN21,123
256,QN23,125
257,QN23,125
258,QN23,125
259,QN23,125
260,QN23,125
261,QN49,142
262,BK73,30
263,BK90,39
264,BK73,30
265,BK73,30
266,BK73,30
267,BK73,30
268,BK73,30
269,BK73,30
270,BK73,30
271,BK73,30
272,BX52,74
273,BX52,74
274,BX52,74
275,BX52,74
276,BX52,74
277,BX52,74
278,BX52,74
279,BX52,74
280,BX52,74
281,BX52,74
282,QN54,147
283,QN54,147
284,QN54,147
285,QN54,147
286,QN54,147
287,QN55,148
288,QN55,148
289,QN55,148
290,QN54,147
291,MN25,97
292,MN25,97
293,MN25,97
294,MN25,97
295,MN25,97
296,MN99,108
297,MN25,97
298,MN25,97
299,MN24,96
300,MN25,97
301,MN25,97
302,BK09,0
303,BK38,16
304,MN25,97
305,MN25,97
306,MN25,97
307,MN17,90
308,MN17,90
309,MN14,88
310,MN14,88
311,MN14,88
312,MN14,88
313,MN17,90
314,MN17,90
315,MN17,90
316,MN17,90
317,MN19,91
318,MN17,90
319,MN20,92
320,MN17,90
321,MN17,90
322,MN13,87
323,MN17,90
324,MN13,87
325,MN40,106
326,MN40,106
327,MN40,106
328,MN40,106
329,MN40,106
330,MN40,106
331,MN40,106
332,MN32,101
333,MN32,101
334,MN40,106
335,MN40,106
336,MN40,106
337,MN99,108
338,MN40,106
339,MN40,106
340,MN32,101
341,MN32,101
342,BK60,24
343,BK60,24
344,BX26,56
345,BX63,78
346,BX63,78
347,BX36,65
348,BK21,3
349,BK19,2
350,BK19,2
351,BK19,2
352,BX22,55
353,BX22,55
354,MN01,80
355,BX29,59
356,BX29,59
357,BX29,59
358,BX29,59
359,BK40,17
360,BK40,17
361,BK37,15
362,BK37,15
363,BK37,15
364,BK64,27
365,BK64,27
366,BK64,27
367,BK64,27
368,BK69,29
369,BK64,27
370,BK64,27
371,BK50,22
372,BK42,19
373,BK42,19
374,BK45,21
375,BK58,23
376,BK45,21
377,BK58,23
378,BK58,23
379,BK45,21
380,QN44,139
381,QN44,139
382,QN44,139
383,QN45,140
384,QN45,140
385,QN45,140
386,QN45,140
387,QN45,140
388,BX09,50
389,BK37,15
390,BK37,15
391,BK37,15
392,BK37,15
393,BK37,15
394,BK37,15
395,BK37,15
396,BK37,15
397,BK37,15
398,BK37,15
399,BK37,15
400,BK33,12
401,BK33,12
402,BK33,12
403,SI11,162
404,SI11,162
405,SI11,162
406,MN03,81
407,MN03,81
408,MN03,81
409,MN03,81
410,MN04,82
411,MN04,82
412,MN04,82
413,MN03,81
414,BK82,36
415,BK82,36
416,BK82,36
417,BK83,37
418,BK83,37
419,BK82,36
420,BK82,36
421,BK83,37
422,BK83,37
423,QN53,146
424,BK83,37
425,BK82,36
426,QN53,146
427,MN32,101
428,MN32,101
429,MN32,101
430,MN32,101
431,MN32,101
432,MN32,101
433,QN51,144
434,QN52,145
435,QN52,145
436,BX35,64
437,BX01,44
438,BX35,64
439,BX34,63
440,BX34,63
441,MN01,80
442,MN35,104
443,MN01,80
444,MN01,80
445,MN01,80
446,MN01,80
447,MN13,87
448,MN13,87
449,MN13,87
450,MN13,87
451,MN13,87
452,MN13,87
453,MN21,93
454,MN21,93
455,MN13,87
456,MN13,87
457,MN13,87
458,MN23,95
459,MN23,95
460,MN23,95
461,MN23,95
462,MN23,95
463,MN23,95
464,MN23,95
465,MN24,96
466,MN24,96
467,MN24,96
468,MN24,96
469,MN23,95
470,MN23,95
471,MN23,95
472,MN23,95
473,MN23,95
474,MN24,96
475,MN12,86
476,MN12,86
477,MN12,86
478,MN12,86
479,MN12,86
480,MN12,86
481,MN09,84
482,MN12,86
483,MN12,86
484,MN12,86
485,MN09,84
486,MN12,86
487,MN12,86
488,MN12,86
489,MN12,86
490,MN12,86
491,MN12,86
492,MN12,86
493,MN12,86
494,MN12,86
495,BX28,58
496,BX05,46
497,BX05,46
498,BX40,68
499,BX40,68
500,BX05,46
501,BX40,68
502,BX40,68
503,BX40,68
504,BX40,68
505,BX40,68
506,BX41,69
507,BX36,65
508,BX41,69
509,BX63,78
510,BX13,52
511,BX13,52
512,BX17,54
513,BX17,54
514,BX17,54
515,BX06,47
516,BX06,47
517,BX17,54
518,BX06,47
519,BX06,47
520,BX06,47
521,BX06,47
522,BX37,66
523,BK17,1
524,BK17,1
525,BK17,1
526,BK17,1
527,BK17,1
528,QN10,116
529,SI37,170
530,SI22,165
531,SI37,170
532,SI37,170
533,SI37,170
534,SI37,170
535,QN03,111
536,QN05,112
