,name,place_id,rating,types,user_ratings_total,price_level,geometry,vicinity,Latitude,Longitude
7380,525LEX Restaurant & Lounge,ChIJ7VuNF_1YwokRjvlA01Ja74o,3.5,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",33.0,2.0,,"525 Lexington Avenue, New York",40.7555937,-73.9725642
7381,LEX 48 HOTEL,ChIJAQBcFv1YwokRVgC2xeqhLjE,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",9.0,,,"517 Lexington Avenue, New York",40.7553,-73.9728788
7382,La Bellezza Pizza,ChIJPW5nJv1YwokRkc_UwBtR4Eo,4.5,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",112.0,2.0,,"145 East 49th Street, New York",40.7557662,-73.9720368
7383,Bull & Bear Prime Steakhouse,ChIJ56lAneVYwokRV8yCBL4Ws_I,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",54.0,4.0,,"540 Lexington Avenue, New York",40.75625299999999,-73.9728769
7384,Manhattan Espresso Cafe,ChIJlRWYJf1YwokRZwo1aC69WSU,4.3,"['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",38.0,1.0,,"146 East 49th Street, New York",40.7553583,-73.9721302
7385,Avra Estiatorio,ChIJ_zuGPv1YwokRPdpCK3wYGFg,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",589.0,3.0,,"141 East 48th Street, New York",40.7551067,-73.9725945
7386,abaita - kosher dairy eatery,ChIJEWKPJ_1YwokRoIcOxfVTe4Q,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",331.0,3.0,,"145 East 49th Street, New York",40.7555699,-73.971858
7387,Yogi Korean BBQ Taco Cart,ChIJ3e6DMv1YwokRutApRks0LME,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",8.0,,,"155 East 49th Street, New York",40.7556846,-73.97176929999999
7388,Ashley's Fine Food,ChIJ7ZJccf1YwokRMyZuHNaIuls,3.8,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",432.0,1.0,,"500 Lexington Avenue, New York",40.7551728,-73.9736707
7389,Spice Symphony,ChIJR1cYdAhZwokRvUA0rSAV9rY,4.4,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1056.0,2.0,,"150 East 50th Street Between lexington &, 3rd Avenue, New York",40.7559391,-73.9715551
7390,New York Luncheonette,ChIJT_C10PxYwokRjHup8DJnuF8,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",748.0,1.0,,"135 East 50th Street #1, New York",40.756371,-73.9717731
7391,Geoffrey Zakarian,ChIJcY8E0PxYwokR4Wx7wLwOkiE,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,"557 Lexington Avenue, New York",40.756593,-73.971947
7392,Bistango,ChIJr2lx0_xYwokR8TKjMpDfSKI,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",272.0,2.0,,"145 East 50th Street BETWEEN LEXINGTON AND, 3rd Avenue, New York",40.7563217,-73.9714034
7393,Empire Steak House,ChIJI7cuK-NYwokRJLDZ-L4jIFY,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",502.0,3.0,,"151 East 50th Street, New York",40.75615000000001,-73.97126999999999
