,name,place_id,rating,types,user_ratings_total,price_level,geometry,vicinity,Latitude,Longitude
2876,Hong Kong Taste Cafe,ChIJRcc677JfwokR6KPVAKewzR4,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",86.0,1.0,,"47-21 90th Street, Queens",40.7416834,-73.8750134
2877,El Tejano Restaurant,ChIJw3nWdrRfwokRXcHNAgzDajQ,3.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",9.0,,,"93 10 Corona Avenue, Queens",40.7422638,-73.8709409
2878,El Sonador Cafe Restaurant,ChIJZ_pnerRfwokRuDb5-CenRXM,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",31.0,1.0,,"9314 Corona Avenue, Elmhurst",40.7421962,-73.8708521
2879,Dunkin',ChIJxSNtnkpewokRbuA3jPYQXlc,3.7,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",87.0,1.0,,"9403 Corona Avenue, Queens",40.7425374,-73.86972039999999
2880,Western Bakery Restaurant & Caterers,ChIJSelysgZkwokR-mmBZ0ay4NQ,4.1,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",18.0,1.0,,"228-13 Merrick Boulevard, Springfield Gardens",40.6766771,-73.74167039999999
2881,Crown Fried Chicken,ChIJl43qpQZkwokRCGdgPiZKzb4,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",266.0,1.0,,"229-7 Merrick Boulevard, Queens",40.676462,-73.7410431
2882,Yummy Taco,ChIJtQosTgFkwokRausnA_8rYhA,3.8,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",169.0,1.0,,"227-15 Merrick Boulevard, New York",40.6770507,-73.74248159999999
2883,Be in good health,ChIJpxjdbpBlwokRrtLFpXq-hQQ,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",9.0,,,"227-17 Merrick Boulevard, Laurelton",40.67695649999999,-73.74238369999999
2884,Big Tree,ChIJL8x8TChlwokRA-BAUVBZUpQ,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",29.0,,,"227-05 Merrick Boulevard, Springfield Gardens",40.67712119999999,-73.74270229999999
2885,A LIVE KITCHEN,ChIJlwIB8OdlwokRIirimoIbKtw,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",138.0,,,"227-16 Merrick Boulevard, Laurelton",40.6766398,-73.74259359999999
