,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood
13745,9Ten,ChIJpw0eCvdYwokR_2jI9EO9oQI,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",601.0,2.0,"910 7th Avenue, New York",40.7660326,-73.97990620000002,Manhattan,Midtown-Midtown South
13746,Basso56,ChIJoxhV4_dYwokRXZiebAzYAnY,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",460.0,2.0,"234 West 56th Street, New York",40.7656094,-73.982685,Manhattan,Midtown-Midtown South
13747,Le Pain Quotidien,ChIJv_8aD_dYwokRJ2Ez-GHDTBs,4.2,"['restaurant', 'bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",1338.0,2.0,"922 7th Avenue, New York",40.7663869,-73.97964809999998,Manhattan,Midtown-Midtown South
13748,Patsy's,ChIJ22yt_PdYwokRFf4cnErij6k,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",1356.0,2.0,"236 West 56th Street, New York",40.7656391,-73.98274079999999,Manhattan,Midtown-Midtown South
13749,Argo Tea,ChIJ8-NotfdYwokRnXBumM5iYW8,4.2,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",550.0,1.0,"1792 Broadway, New York",40.7671394,-73.98147759999998,Manhattan,Midtown-Midtown South
13750,Petrossian Boutique & Cafe,ChIJ_9hNDvdYwokRNURiqG7_C4A,4.3,"['cafe', 'grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",286.0,3.0,"911 7th Avenue, New York",40.76594269999999,-73.97948670000002,Manhattan,Midtown-Midtown South
13751,Carnegie John’s,ChIJWY7UhfdYwokRMnhu_4fcm2s,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",16.0,,"7th Ave &, West 56th Street, New York",40.7648472,-73.98027459999999,Manhattan,Midtown-Midtown South
13752,Chipotle Mexican Grill,ChIJ0Uxu5PdYwokRWiMlRf9RYIU,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",790.0,1.0,"235 West 56th Street, New York",40.7660637,-73.98289940000002,Manhattan,Midtown-Midtown South
13753,Fuji Sushi 56th,ChIJpRC77G1ZwokRAFScOHmiq1o,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",239.0,,"238 West 56th Street, New York",40.76561309999999,-73.98286519999998,Manhattan,Midtown-Midtown South
13754,King Souvlaki,ChIJk-Uzbu5ZwokRIJ2cqSmHptU,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,,"West 55th and Broadway, New York",40.764864,-73.982259,Manhattan,Midtown-Midtown South
13755,Majorelle,ChIJc2HLTe5YwokR9etGl2lOIIE,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",101.0,3.0,"28 East 63rd Street, New York",40.7657388,-73.96922159999998,Manhattan,Upper East Side-Carnegie Hill
13756,The Lowell Hotel,ChIJb9nOTe5YwokR5og3CprlOX4,,"['night_club', 'lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",,3.0,"28 East 63rd Street, New York",40.76573249999999,-73.9692262,Manhattan,Upper East Side-Carnegie Hill
