,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood,Neighborhood_Cat,Borough_Cat
9248,Three Boys From Italy,ChIJnYIq82nzwokR-l-Zz1uitPM,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",378.0,2.0,"704 Burke Avenue, The Bronx",40.871233200000006,-73.86686519999998,Bronx,Bronxdale,21,0
9249,Blue Mountain Grill,ChIJp3wPP2rzwokRi0oQ-T9G3Gk,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",7.0,,"3257 White Plains Road #6403, The Bronx",40.8730021,-73.86731929999998,Bronx,Williamsbridge-Olinville,178,0
9250,Up Top Grill,ChIJ07QMbbDzwokRWkX3nuALKOg,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,,"3257 White Plains Road, The Bronx",40.87300219999999,-73.8673117,Bronx,Williamsbridge-Olinville,178,0
9251,K Q,ChIJ69Um82nzwokRiBmeYKesS4Q,4.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",78.0,1.0,"706 Burke Avenue, The Bronx",40.8712284,-73.8668189,Bronx,Bronxdale,21,0
9252,Feroza's Roti,ChIJUXes9mnzwokRqbmpmk_AypQ,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",566.0,1.0,"716 Burke Avenue, The Bronx",40.871414,-73.866486,Bronx,Bronxdale,21,0
9253,Lammy’s #2,ChIJDxFxaGrzwokRcJhTAvoHpnM,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,,"3310 White Plains Road, The Bronx",40.8736269,-73.8668806,Bronx,Williamsbridge-Olinville,178,0
9254,PR Sazon,ChIJ-3BDI5eNwokRGaRDDvqpIc4,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",237.0,2.0,"3285 Westchester Avenue, The Bronx",40.8529407,-73.8275611,Bronx,Pelham Bay-Country Club-City Island,127,0
9255,Happy Land Buffet,ChIJQyYDh2L1wokRltdXqCmUZhI,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",65.0,,"2028 Jerome Avenue #1802, The Bronx",40.85320430000001,-73.9075271,Bronx,Mount Hope,109,0
9256,Don Pancholo Lechonera Restaurant,ChIJJc0ujG30wokRXA-HK2vw9Qs,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",56.0,1.0,"2037 Jerome Avenue, The Bronx",40.85366469999999,-73.90785600000002,Bronx,University Heights-Morris Heights,163,0
9257,Top Choice,ChIJf38C69nywokR2k7RAvOaU4E,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",37.0,,"686 Nereid Avenue, The Bronx",40.89847200000001,-73.8549075,Bronx,Woodlawn-Wakefield,182,0
